ID,Purpose,Purpose Code,Amount,Frequency
4858,A,1,53458,6.62
4859,D,4,733,11.49
4860,B,2,755,2.93
4861,D,4,61,6.02
4862,B,2,559,2.22
4863,A,1,48104,7.19
4864,C,3,17721,18.74
4865,C,3,17822,16.11
4866,C,3,17412,12.07
4867,B,2,1982,2.97
4868,B,2,767,4.06
4869,C,3,16724,13.88
4870,B,2,1494,2.91
4871,A,1,50207,2.93
4872,A,1,51545,8.14
4873,A,1,44146,5.14
4874,C,3,6136,6.95
4875,A,1,52457,8.12
4876,B,2,387,3.4
4877,A,1,48058,7.24
4878,D,4,103,7.67
4879,B,2,2095,3.13
4880,C,3,20410,16.13
4881,D,4,436,8.53
4882,C,3,23379,10.64
4883,B,2,1124,2.99
4884,B,2,3897,3.22
4885,A,1,48971,8.66
4886,A,1,50237,3.09
4887,A,1,48510,7.57
4888,B,2,2560,3.49
4889,A,1,51700,6.87
4890,D,4,947,10.26
4891,D,4,1206,12.35
4892,C,3,17136,11.66
4893,A,1,47026,6.62
4894,B,2,357,1.2
4895,C,3,11342,19.84
4896,B,2,2448,2.54
4897,B,2,4624,2.28
4898,C,3,13479,15.67
4899,B,2,304,3.41
4900,D,4,538,9.62
4901,D,4,139,9.27
4902,C,3,10701,14.46
4903,B,2,4567,2.64
4904,A,1,52499,2.51
4905,B,2,2199,2.69
4906,C,3,18954,18.65
4907,A,1,56278,4.72
4908,B,2,4014,1.83
4909,D,4,14,10.18
4910,B,2,98,2.71
4911,D,4,1231,10.78
4912,D,4,468,12.61
4913,A,1,48931,6.11
4914,B,2,1847,1.89
4915,C,3,11086,11.25
4916,C,3,22276,16.16
4917,D,4,1031,11.61
4918,A,1,52983,7.82
4919,B,2,3939,3.76
4920,C,3,15301,12.19
4921,B,2,1990,3.65
4922,A,1,49116,3.81
4923,D,4,907,11.13
4924,D,4,910,7.48
4925,D,4,1513,12.01
4926,D,4,46,10.12
4927,D,4,1670,11.24
4928,D,4,926,6.42
4929,C,3,18090,16.48
4930,C,3,14731,17.77
4931,D,4,785,9.75
4932,C,3,9725,15.1
4933,B,2,1438,3.67
4934,A,1,52614,8.37
4935,C,3,14615,17.79
4936,A,1,54177,5.74
4937,B,2,2927,5.37
4938,C,3,17716,14.97
4939,D,4,573,9.15
4940,C,3,11903,15.86
4941,D,4,614,13.16
4942,B,2,5062,4.14
4943,B,2,639,2.94
4944,C,3,16938,16.17
4945,C,3,19629,15.13
4946,C,3,2077,13.37
4947,D,4,875,13.02
4948,D,4,1252,7.38
4949,D,4,1428,9.59
4950,D,4,376,10.73
4951,D,4,1046,9.71
4952,A,1,47213,5.99
4953,A,1,53525,6.12
4954,A,1,52850,8.51
4955,C,3,22931,15.12
4956,A,1,49217,6.16
4957,A,1,50323,4.43
4958,C,3,12634,15.42
4959,D,4,494,6.83
4960,D,4,744,12.73
4961,A,1,47347,6.35
4962,A,1,51922,4.78
4963,D,4,819,9.14
4964,B,2,857,2.17
4965,A,1,46175,11.12
4966,A,1,49480,3.82
4967,C,3,24221,11.37
4968,A,1,53126,5.96
4969,C,3,8677,19.25
4970,C,3,19527,11.38
4971,D,4,1788,13.06
4972,B,2,2488,2.89
4973,C,3,7692,13.9
4974,C,3,12212,12.99
4975,C,3,9514,17.2
4976,D,4,1100,9.81
4977,C,3,13338,12.88
4978,A,1,46099,10.28
4979,B,2,4102,2.62
4980,C,3,15604,20.91
4981,C,3,24394,17.68
4982,C,3,19456,16.03
4983,A,1,53200,4.63
4984,C,3,15336,20.9
4985,C,3,12802,11.61
4986,D,4,408,12.32
4987,C,3,17025,16.68
4988,D,4,1051,7.8
4989,C,3,24852,21.65
4990,A,1,53375,1.33
4991,C,3,11850,14.64
4992,B,2,3695,3.56
4993,C,3,16141,13.71
4994,A,1,48701,7.16
4995,D,4,422,9.29
4996,D,4,193,10.25
4997,A,1,49025,7.56
4998,A,1,53001,8.13
4999,B,2,1774,3.96
5000,B,2,1184,4.79
5001,B,2,1135,4.05
5002,C,3,17433,13.71
5003,C,3,26085,19.64
5004,A,1,49523,7.84
5005,D,4,660,10.47
5006,B,2,1928,1.79
5007,B,2,2360,4.35
5008,C,3,17492,13.63
5009,B,2,3818,3.64
5010,B,2,2164,3.54
5011,D,4,243,8.12
5012,C,3,12687,14.91
5013,C,3,15534,17.1
5014,B,2,4491,3.79
5015,C,3,13719,16.96
5016,B,2,4278,3.23
5017,A,1,52271,5.71
5018,B,2,1507,4.22
5019,C,3,13329,19.32
5020,A,1,51381,8.84
5021,A,1,53931,5.57
5022,B,2,1656,3.08
5023,D,4,411,12
5024,C,3,17189,15.42
5025,C,3,8534,16.73
5026,B,2,2194,1.71
5027,A,1,42977,5.9
5028,D,4,1569,12.69
5029,D,4,633,8.47
5030,B,2,1317,3.66
5031,C,3,11938,15.07
5032,B,2,5012,2.94
5033,B,2,819,3.6
5034,A,1,43636,9.12
5035,A,1,52568,7.53
5036,D,4,1091,8.94
5037,D,4,608,6.5
5038,C,3,9055,10.5
5039,B,2,4337,2.51
5040,A,1,50508,7.4
5041,D,4,938,11.33
5042,D,4,1201,12.13
5043,B,2,392,2.56
5044,A,1,49510,10.06
5045,D,4,691,9.56
5046,C,3,6244,15.51
5047,A,1,42853,10.17
5048,D,4,1813,9.79
5049,C,3,7429,21.04
5050,D,4,1477,8.27
5051,A,1,51153,7.44
5052,B,2,3742,5.22
5053,A,1,51111,4.74
5054,A,1,49384,5.5
5055,D,4,257,7.76
5056,B,2,1758,3.51
5057,B,2,1716,1.98
5058,B,2,2628,4.28
5059,B,2,1349,2.62
5060,B,2,3909,2.45
5061,A,1,51114,7.47
5062,D,4,1228,8.23
5063,C,3,17442,13.22
5064,A,1,52657,3.8
5065,C,3,15414,13.99
5066,A,1,49483,9.48
5067,C,3,18841,15.88
5068,B,2,5043,3.64
5069,A,1,48291,6.99
5070,D,4,804,9.46
5071,C,3,8008,13.37
5072,B,2,4281,3.75
5073,C,3,16620,23.48
5074,C,3,12111,11.98
5075,B,2,3287,4.32
5076,D,4,1376,9.66
5077,C,3,11216,12.91
5078,C,3,17051,9.8
5079,D,4,579,9.61
5080,C,3,12938,13.99
5081,B,2,606,2.74
5082,A,1,48670,7.31
5083,C,3,14796,14.85
5084,C,3,9294,19.75
5085,B,2,2098,1.94
5086,D,4,127,10.1
5087,A,1,50752,5.22
5088,D,4,371,13.14
5089,C,3,9640,16.3
5090,D,4,633,11.33
5091,A,1,51164,7.39
5092,D,4,5,8.66
5093,B,2,3964,3.5
5094,A,1,45850,3.53
5095,B,2,617,3.94
5096,A,1,54352,5.02
5097,B,2,3409,4.31
5098,B,2,4099,2.65
5099,C,3,9711,18.3
5100,C,3,8820,17.55
5101,B,2,3278,2.9
5102,C,3,23072,10.66
5103,D,4,228,7.97
5104,B,2,5125,3.29
5105,A,1,54758,7.45
5106,D,4,334,6.83
5107,B,2,5060,4.85
5108,D,4,1336,8.09
5109,D,4,459,8.61
5110,D,4,469,11.53
5111,A,1,53812,8
5112,D,4,75,10.39
5113,B,2,2350,2.3
5114,D,4,1446,10.05
5115,C,3,16742,12.53
5116,A,1,48914,8.15
5117,A,1,52785,6.5
5118,D,4,1077,12.89
5119,C,3,15105,17.02
5120,C,3,9411,18.1
5121,B,2,421,4.23
5122,C,3,18899,16.04
5123,C,3,12751,15.21
5124,B,2,2258,3.58
5125,A,1,47257,6.11
5126,B,2,3838,2.66
5127,D,4,232,9.29
5128,C,3,12650,24.66
5129,C,3,12739,19.93
5130,B,2,3817,3.36
5131,D,4,1510,8.99
5132,B,2,6390,4.18
5133,D,4,223,13.28
5134,A,1,50046,6.54
5135,B,2,2500,3.04
5136,C,3,12062,15.27
5137,B,2,4326,3.35
5138,C,3,17955,21.03
5139,D,4,1049,8.4
5140,D,4,365,7.99
5141,C,3,8922,12.17
5142,B,2,2962,2.58
5143,B,2,5441,3.19
5144,C,3,11547,15.77
5145,B,2,863,3.48
5146,B,2,1201,2.72
5147,C,3,27143,11.84
5148,C,3,6606,11.42
5149,A,1,51890,9.49
5150,B,2,6151,5.14
5151,D,4,373,7.14
5152,C,3,2965,18.19
5153,B,2,1429,2.6
5154,D,4,952,9.34
5155,B,2,538,2.99
5156,B,2,1580,3.51
5157,C,3,16194,10.16
5158,C,3,12600,18.29
5159,B,2,639,4.91
5160,B,2,621,3.89
5161,C,3,14854,12.05
5162,C,3,8522,15.37
5163,B,2,828,1.61
5164,A,1,52242,5.99
5165,B,2,5908,3.08
5166,A,1,52294,10.38
5167,C,3,18575,17.49
5168,B,2,1858,4.45
5169,C,3,17281,24.9
5170,B,2,5766,3.78
5171,C,3,14679,15.83
5172,D,4,138,7.92
5173,C,3,23672,17.8
5174,D,4,495,13.12
5175,C,3,9739,19.19
5176,A,1,52366,6.59
5177,C,3,21469,17.23
5178,B,2,4546,2.74
5179,A,1,52578,5.09
5180,D,4,896,8.51
5181,C,3,9446,13.48
5182,C,3,14170,18.44
5183,B,2,2729,3.85
5184,D,4,1670,5.64
5185,D,4,948,9.17
5186,D,4,970,14.48
5187,B,2,1271,4.32
5188,C,3,13054,16.94
5189,A,1,51882,6.4
5190,D,4,1395,8.15
5191,C,3,8458,11.08
5192,B,2,3389,2.31
5193,B,2,1026,3.71
5194,A,1,54789,7.63
5195,C,3,15212,15.91
5196,D,4,474,7.4
5197,C,3,13169,18.59
5198,A,1,48677,8.03
5199,A,1,56949,4.98
5200,B,2,4051,3.06
5201,D,4,656,10.09
5202,A,1,51768,2.18
5203,A,1,48275,5.7
5204,C,3,16248,23.04
5205,D,4,486,10.23
5206,C,3,18369,14.2
5207,A,1,50570,6.82
5208,A,1,52629,4.4
5209,A,1,45434,6.66
5210,B,2,3540,4.78
5211,B,2,1972,2.91
5212,C,3,20825,19.99
5213,A,1,46933,0.95
5214,D,4,219,9.71
5215,A,1,50103,6.13
5216,C,3,16950,13.09
5217,A,1,53958,6.97
5218,D,4,3,10.59
5219,D,4,282,11.74
5220,D,4,1169,7.63
5221,C,3,17737,13.99
5222,D,4,13,9.36
5223,B,2,3489,3.98
5224,C,3,11842,23.23
5225,A,1,57744,7.02
5226,D,4,537,11.77
5227,B,2,1088,2.95
5228,B,2,5034,3.6
5229,C,3,16487,18.92
5230,D,4,913,7.35
5231,C,3,22192,6.85
5232,B,2,2898,4.26
5233,C,3,16110,17.36
5234,C,3,19742,14.89
5235,D,4,1076,10.49
5236,A,1,49559,4.38
5237,C,3,17181,16.64
5238,C,3,20501,18.16
5239,C,3,9008,19.18
5240,D,4,722,10.34
5241,D,4,1199,12.39
5242,D,4,999,9.1
5243,C,3,19906,13.63
5244,A,1,46673,5.23
5245,C,3,23039,19.08
5246,D,4,800,10.87
5247,C,3,5689,17.59
5248,A,1,51758,6.44
5249,D,4,584,9.2
5250,A,1,48903,6.68
5251,D,4,897,9.44
5252,B,2,595,3.12
5253,C,3,18627,19.74
5254,C,3,12097,17.81
5255,D,4,270,11.03
5256,D,4,592,7.8
5257,A,1,54142,5.45
5258,D,4,950,9.1
5259,C,3,20984,18.36
5260,A,1,52157,7.29
5261,B,2,2423,3.44
5262,C,3,14911,17.35
5263,B,2,1789,3.9
5264,C,3,14521,15.43
5265,C,3,20115,14.8
5266,C,3,11359,14.2
5267,C,3,20332,13.79
5268,B,2,1606,2.55
5269,D,4,588,11.14
5270,D,4,256,11.33
5271,B,2,5789,2
5272,B,2,3286,4.56
5273,C,3,11232,11.1
5274,A,1,48798,7.89
5275,C,3,13801,14
5276,D,4,891,6.83
5277,C,3,14345,18.13
5278,A,1,43612,6.49
5279,A,1,46605,4.43
5280,A,1,48987,5.22
5281,B,2,4183,4.58
5282,D,4,791,9.15
5283,C,3,20132,17.84
5284,B,2,6094,2.92
5285,D,4,53,10.29
5286,C,3,19309,22
5287,C,3,16807,12.86
5288,C,3,16071,15.33
5289,B,2,368,3.82
5290,D,4,2070,7.76
5291,A,1,50847,6.46
5292,B,2,3518,2.59
5293,D,4,1268,10.39
5294,A,1,46820,7.88
5295,D,4,606,11.1
5296,C,3,14036,17.21
5297,A,1,45525,3.71
5298,D,4,295,8.1
5299,B,2,2237,3.85
5300,D,4,2087,10.4
5301,B,2,3256,2.09
5302,A,1,42671,2.2
5303,B,2,580,3.34
5304,D,4,988,11.77
5305,D,4,1428,11.86
5306,D,4,501,7.04
5307,B,2,2083,3.21
5308,B,2,1151,4.54
5309,B,2,1267,3.02
5310,C,3,11034,14.86
5311,D,4,1354,12.36
5312,A,1,48242,8.01
5313,B,2,3048,2.37
5314,B,2,3307,2.91
5315,B,2,1080,3.67
5316,C,3,10852,20.22
5317,B,2,4415,4.57
5318,C,3,257,9.65
5319,B,2,1339,2.71
5320,D,4,27,9.18
5321,C,3,10833,19.71
5322,B,2,5404,2.09
5323,A,1,54031,5.32
5324,C,3,15272,18.38
5325,B,2,4313,2.86
5326,D,4,471,7.33
5327,B,2,2627,3.08
5328,C,3,16837,16.1
5329,A,1,51263,6.53
5330,B,2,402,3.48
5331,A,1,58698,6.12
5332,A,1,51212,0.92
5333,D,4,72,10.16
5334,B,2,539,2.91
5335,C,3,20875,21.95
5336,B,2,866,3.52
5337,C,3,13010,21.46
5338,B,2,2934,3.51
5339,C,3,15370,20.42
5340,C,3,17072,20.14
5341,C,3,8017,24.93
5342,A,1,53558,6.16
5343,C,3,11817,20.04
5344,D,4,1448,8.53
5345,B,2,2454,3.75
5346,B,2,1639,4.35
5347,B,2,2247,2.3
5348,D,4,876,7.15
5349,A,1,47905,3.08
5350,A,1,47280,4.79
5351,D,4,330,8.09
5352,B,2,1409,4.96
5353,B,2,5961,2.89
5354,B,2,1459,2.83
5355,D,4,829,9.23
5356,C,3,15651,11.5
5357,B,2,1834,2.35
5358,B,2,457,2.46
5359,D,4,774,8.84
5360,C,3,15629,17.55
5361,C,3,15145,14.67
5362,D,4,138,10.15
5363,B,2,3264,2.17
5364,A,1,47650,7.38
5365,D,4,1066,11.15
5366,A,1,48418,7.21
5367,A,1,45398,4.06
5368,C,3,9535,13.68
5369,A,1,52371,1.77
5370,A,1,56084,5.53
5371,B,2,1642,3.31
5372,C,3,8703,12.27
5373,A,1,54167,7.94
5374,A,1,45735,5.32
5375,A,1,50068,5.27
5376,B,2,3596,2.71
5377,A,1,47789,7.6
5378,D,4,163,7.96
5379,D,4,1026,13.26
5380,B,2,2012,4.43
5381,D,4,676,8.93
5382,D,4,764,10.06
5383,C,3,22786,14.24
5384,C,3,27294,15.39
5385,A,1,54118,5.63
5386,B,2,192,1.26
5387,B,2,1547,3.15
5388,C,3,17200,21.19
5389,B,2,629,3.59
5390,C,3,12871,19.13
5391,B,2,2003,3
5392,A,1,53154,8.05
5393,D,4,790,9.44
5394,D,4,106,10.52
5395,A,1,47911,9.92
5396,C,3,23707,14.05
5397,A,1,50165,9
5398,B,2,3435,3.25
5399,D,4,333,10.31
5400,A,1,47139,6.16
5401,B,2,3922,2.45
5402,C,3,11355,17.25
5403,D,4,1090,12.38
5404,B,2,1239,2.01
5405,C,3,25007,15.13
5406,B,2,1854,1.47
5407,D,4,1963,5.72
5408,D,4,407,9.85
5409,D,4,713,10.04
5410,C,3,16728,17.05
5411,A,1,52205,3.3
5412,A,1,55186,5.65
5413,B,2,3572,2.72
5414,B,2,5193,2.72
5415,A,1,50934,3.89
5416,C,3,14064,13.4
5417,C,3,14877,17.06
5418,D,4,788,13.32
5419,C,3,10568,16.95
5420,A,1,51575,3.24
5421,C,3,16224,12.3
5422,B,2,1981,3.61
5423,A,1,44766,7.49
5424,D,4,1103,7.91
5425,B,2,2148,5.02
5426,A,1,50172,9.02
5427,B,2,3848,3.1
5428,C,3,28455,16.05
5429,C,3,22639,13.8
5430,D,4,1315,9.92
5431,D,4,678,10.38
5432,B,2,652,4.38
5433,C,3,14788,15.72
5434,B,2,3875,2.84
5435,B,2,2497,3.72
5436,B,2,312,4.52
5437,A,1,48589,2.4
5438,C,3,12036,11.56
5439,B,2,5646,3.1
5440,A,1,57163,7.41
5441,D,4,1223,7.85
5442,A,1,51444,8.21
5443,A,1,49466,8.43
5444,B,2,1263,2.34
5445,A,1,55916,5.8
5446,C,3,2992,16
5447,B,2,3447,4.05
5448,A,1,45166,6.51
5449,C,3,11880,16.01
5450,D,4,729,9.32
5451,D,4,307,6.78
5452,B,2,1197,3.47
5453,A,1,46025,9.8
5454,D,4,1062,9.19
5455,C,3,20401,12.7
5456,A,1,52354,8.58
5457,B,2,1772,3.49
5458,B,2,1567,2.92
5459,C,3,16996,14
5460,B,2,1342,4.83
5461,C,3,10469,14.81
5462,B,2,1243,3.81
5463,C,3,10408,15.81
5464,D,4,228,10.29
5465,C,3,13597,21.25
5466,B,2,2298,2.16
5467,B,2,2182,4.22
5468,A,1,47979,7.42
5469,C,3,16465,10.36
5470,A,1,53472,6.67
5471,C,3,16814,14.37
5472,A,1,53883,9.48
5473,C,3,10069,14.23
5474,B,2,1809,4.3
5475,C,3,10130,15.97
5476,B,2,2035,2.63
5477,C,3,24572,12.77
5478,C,3,15840,18.51
5479,B,2,3215,1.77
5480,D,4,1105,9.54
5481,D,4,803,12.06
5482,A,1,46651,5.4
5483,A,1,55350,12
5484,A,1,53560,4.2
5485,C,3,13498,17.2
5486,C,3,19229,11.18
5487,C,3,11496,12.82
5488,B,2,1321,3.55
5489,B,2,3590,2.49
5490,C,3,18945,13.74
5491,D,4,544,10.12
5492,C,3,17567,9.5
5493,B,2,2293,4.76
5494,B,2,1738,1.92
5495,B,2,2350,3.35
5496,C,3,17397,13.68
5497,B,2,1420,4.87
5498,A,1,47153,4.85
5499,A,1,50337,5.16
5500,A,1,51166,6.94
5501,D,4,926,8.82
5502,B,2,2835,3.5
5503,C,3,20369,19.6
5504,B,2,1172,3.97
5505,A,1,45737,1.84
5506,A,1,50506,3.56
5507,C,3,10746,17.16
5508,C,3,19897,15.59
5509,D,4,2096,8.99
5510,A,1,46684,8.61
5511,A,1,50289,8.77
5512,C,3,15349,16.63
5513,A,1,48913,6.61
5514,D,4,579,8.14
5515,B,2,5349,3.19
5516,A,1,48328,3.9
5517,D,4,973,8.75
5518,D,4,880,6.77
5519,A,1,51127,5.8
5520,A,1,50450,2.97
5521,A,1,54140,8.33
5522,D,4,647,10.49
5523,B,2,2371,2.83
5524,B,2,640,2.91
5525,C,3,5679,13.76
5526,D,4,168,10.61
5527,A,1,53445,5.57
5528,C,3,16867,9.52
5529,D,4,1089,9.73
5530,D,4,430,11.69
5531,D,4,1228,10.39
5532,D,4,623,11.13
5533,A,1,45915,9.58
5534,C,3,23766,16.7
5535,C,3,9014,18.54
5536,B,2,482,3.52
5537,D,4,318,10.26
5538,A,1,46874,7.86
5539,D,4,1508,7.83
5540,B,2,2303,3.18
5541,C,3,13778,13.31
5542,A,1,49226,4.71
5543,C,3,17947,14.35
5544,C,3,9051,15.92
5545,B,2,405,1.41
5546,C,3,9768,9.99
5547,A,1,49943,7.42
5548,D,4,1349,7.73
5549,A,1,54173,8
5550,A,1,44807,4.39
5551,D,4,907,14.04
5552,B,2,2284,2.39
5553,A,1,55635,7
5554,D,4,1099,10.23
5555,C,3,18217,20.94
5556,B,2,1243,1.93
5557,B,2,2501,3.86
5558,C,3,24521,18.09
5559,A,1,50362,7.7
5560,A,1,55791,8.17
5561,C,3,24747,10.77
5562,A,1,51572,3.99
5563,D,4,529,13.46
5564,C,3,5780,17.39
5565,B,2,2392,2.74
5566,A,1,50030,3.74
5567,B,2,396,3.69
5568,A,1,15000,14
5569,A,1,48371,5.05
5570,A,1,46517,2.52
5571,C,3,17127,18.58
5572,D,4,1137,6.24
5573,D,4,1410,9.38
5574,D,4,911,9.21
5575,D,4,205,10.57
5576,D,4,107,11
5577,C,3,10375,17.67
5578,A,1,49514,7.57
5579,B,2,3320,1.84
5580,D,4,1387,10.42
5581,D,4,215,8.85
5582,C,3,13492,10.68
5583,B,2,566,2.63
5584,B,2,533,2.83
5585,A,1,45443,6.43
5586,C,3,10998,21.67
5587,D,4,170,6.42
5588,A,1,50504,9.64
5589,C,3,16605,12.87
5590,A,1,48790,7.77
5591,D,4,449,9.57
5592,B,2,2918,2.51
5593,B,2,2064,3.8
5594,D,4,598,10.5
5595,D,4,1415,8.35
5596,C,3,14437,14.48
5597,A,1,52045,6.13
5598,D,4,706,14.25
5599,D,4,191,9.98
5600,B,2,1868,3.24
5601,A,1,49311,6.43
5602,A,1,56821,7.65
5603,A,1,42557,6.12
5604,C,3,11925,14.27
5605,D,4,110,10.09
5606,D,4,1262,11.59
5607,A,1,46855,5.06
5608,C,3,14168,16.95
5609,A,1,51611,11.56
5610,A,1,55656,2.54
5611,D,4,730,8.36
5612,B,2,2524,3.71
5613,D,4,808,10.88
5614,B,2,5652,2.97
5615,D,4,1196,8.82
5616,C,3,16024,12.51
5617,B,2,2753,1.31
5618,D,4,302,9.36
5619,B,2,3054,2.81
5620,C,3,11965,18.86
5621,A,1,47345,1.44
5622,A,1,57049,2.27
5623,C,3,7973,11.69
5624,C,3,14154,14.66
5625,C,3,15914,17.02
5626,B,2,959,4.39
5627,C,3,14298,17.36
5628,D,4,329,12.82
5629,A,1,49397,4.63
5630,D,4,333,9.74
5631,D,4,955,7.26
5632,B,2,3821,4.05
5633,B,2,1876,2.03
5634,A,1,53097,6.66
5635,A,1,52883,4.99
5636,A,1,55288,7.19
5637,D,4,1277,11.94
5638,C,3,19584,18.87
5639,B,2,2098,2.13
5640,B,2,3182,3.97
5641,A,1,51876,8.33
5642,C,3,16378,14.23
5643,B,2,1741,3.96
5644,A,1,48086,7.33
5645,D,4,998,13.09
5646,D,4,772,11.38
5647,B,2,2878,3.31
5648,A,1,47447,3.03
5649,C,3,20922,19.46
5650,D,4,791,8.09
5651,A,1,44778,6.91
5652,A,1,47093,6.23
5653,C,3,16497,14.81
5654,C,3,14411,19.86
5655,C,3,5793,19.76
5656,A,1,55213,5.39
5657,B,2,782,2.54
5658,A,1,51843,10.4
5659,B,2,3622,2.6
5660,D,4,1192,10.52
5661,B,2,908,5.06
5662,C,3,11283,14.03
5663,D,4,659,8.86
5664,A,1,51543,7.7
5665,B,2,10,4.27
5666,B,2,4318,3.78
5667,A,1,52949,7.11
5668,B,2,1978,3.83
5669,C,3,16475,18.71
5670,B,2,3505,3.92
5671,B,2,2623,3.56
5672,D,4,539,7.79
5673,D,4,74,10.8
5674,A,1,51898,5.68
5675,B,2,2201,2.93
5676,C,3,22431,15.04
5677,A,1,48398,3.88
5678,B,2,3394,3.54
5679,C,3,21256,17.76
5680,A,1,51383,3.45
5681,B,2,2374,2.75
5682,B,2,2072,3.2
5683,D,4,63,10.51
5684,C,3,9447,13.1
5685,D,4,329,6.27
5686,B,2,2273,3.19
5687,B,2,2209,2.33
5688,C,3,15526,13.86
5689,D,4,1020,13.41
5690,B,2,2784,2.61
5691,A,1,48348,9.11
5692,D,4,1131,8.75
5693,D,4,1123,12.41
5694,D,4,439,11.65
5695,D,4,1217,9.79
5696,A,1,50264,7.2
5697,D,4,775,12.22
5698,B,2,98,2.78
5699,C,3,17443,15.09
5700,D,4,625,11.25
5701,B,2,1949,2.45
5702,A,1,53866,4.3
5703,A,1,49180,4.56
5704,C,3,15534,17.34
5705,C,3,3237,15.07
5706,B,2,4500,3.34
5707,B,2,2909,3.99
5708,A,1,52133,3.54
5709,B,2,1825,2.99
5710,A,1,49694,7.52
5711,D,4,357,9.85
5712,B,2,4949,3.56
5713,D,4,251,10.73
5714,A,1,51174,7.02
5715,A,1,51190,0.69
5716,D,4,1111,9.59
5717,D,4,1329,10.5
5718,A,1,48121,5.84
5719,D,4,944,10.28
5720,C,3,15703,14.52
5721,D,4,660,9.97
5722,D,4,1218,13.71
5723,D,4,149,9.41
5724,B,2,3559,2.98
5725,C,3,23406,17.63
5726,A,1,47485,7.45
5727,B,2,1312,2.65
5728,C,3,22195,24.07
5729,B,2,550,4.15
5730,D,4,530,6.52
5731,A,1,47578,8.49
5732,B,2,2755,2.84
5733,C,3,10619,11
5734,A,1,46072,4.42
5735,B,2,1365,3.11
5736,B,2,2359,3.29
5737,A,1,45911,4.01
5738,C,3,12959,17.56
5739,B,2,5084,4.08
5740,A,1,50707,3.99
5741,B,2,2849,2.15
5742,D,4,203,9.65
5743,A,1,47252,5.79
5744,B,2,955,4.13
5745,A,1,49465,4.72
5746,C,3,13980,18.08
5747,C,3,22415,16.69
5748,C,3,18400,15.78
5749,D,4,1376,8.6
5750,B,2,1087,2.93
5751,C,3,10589,14.51
5752,B,2,4513,2.66
5753,A,1,48340,6.43
5754,A,1,50703,7.3
5755,B,2,4916,5.78
5756,B,2,335,2.33
5757,A,1,51255,1.81
5758,B,2,4699,3.61
5759,C,3,5539,13.92
5760,D,4,1019,5.57
5761,B,2,1318,2.31
5762,C,3,3920,15.66
5763,C,3,23218,18.46
5764,A,1,47622,6.44
5765,B,2,3337,4.09
5766,A,1,55987,7.3
5767,C,3,9439,15.69
5768,D,4,199,10.63
5769,D,4,357,8.86
5770,D,4,1562,7.34
5771,D,4,1491,10.2
5772,D,4,843,10.23
5773,D,4,1226,11.7
5774,A,1,47299,5.12
5775,B,2,1124,1.88
5776,A,1,56562,6.37
5777,C,3,5751,12.99
5778,D,4,1039,11.37
5779,A,1,53232,5.24
5780,C,3,8077,19.96
5781,D,4,306,8.48
5782,C,3,18493,18.68
5783,A,1,43569,2.1
5784,B,2,4954,3.64
5785,D,4,798,6.2
5786,D,4,1127,11.81
5787,D,4,1465,9.04
5788,C,3,17514,18.8
5789,C,3,13603,12.85
5790,A,1,48210,7.04
5791,B,2,3057,2.29
5792,C,3,8529,16.35
5793,D,4,1013,12.61
5794,D,4,20,8.61
5795,C,3,3082,14.43
5796,B,2,5236,3.03
5797,C,3,18347,18.93
5798,D,4,774,6.96
5799,C,3,14452,17.37
5800,C,3,8067,20.57
5801,A,1,49999,4.85
5802,B,2,1399,3.54
5803,C,3,17451,16.32
5804,D,4,1151,10.43
5805,B,2,1849,4.31
5806,B,2,3691,2.47
5807,A,1,47928,9.64
5808,B,2,2089,4.42
5809,B,2,4637,3.15
5810,B,2,1617,3.45
5811,C,3,13537,20.91
5812,B,2,3646,2.03
5813,A,1,53349,8.22
5814,A,1,51730,6
5815,A,1,54324,8.13
5816,B,2,384,2.95
5817,A,1,40858,7.98
5818,D,4,842,6.11
5819,B,2,2163,4.39
5820,C,3,12547,16.82
5821,C,3,13047,15.02
5822,C,3,9116,23.92
5823,A,1,49469,6.42
5824,B,2,2828,2.76
5825,D,4,833,16.5
5826,C,3,7450,15.84
5827,B,2,2368,4.45
5828,C,3,21412,12.27
5829,D,4,590,11.27
5830,A,1,44676,5.21
5831,C,3,12970,13.74
5832,D,4,892,10.42
5833,A,1,51047,5.23
5834,C,3,20889,18.67
5835,B,2,4269,3.48
5836,D,4,1131,7.32
5837,B,2,1526,3.64
5838,C,3,13685,15.69
5839,C,3,10842,24.33
5840,D,4,1466,11.12
5841,D,4,403,7.8
5842,D,4,852,7.83
5843,C,3,6651,16.32
5844,B,2,4410,3.82
5845,D,4,1188,10.36
5846,A,1,49377,6.99
5847,A,1,50019,4.32
5848,B,2,3570,2.44
5849,B,2,2266,4.06
5850,B,2,2220,4.94
5851,B,2,1620,1.38
5852,D,4,262,9.44
5853,A,1,49274,5.35
5854,A,1,50019,8.6
5855,C,3,1431,18.53
5856,B,2,2591,4.27
5857,C,3,9593,20.38
5858,C,3,15920,18.26
5859,C,3,9320,21.96
5860,A,1,52898,4.64
5861,C,3,17553,14.29
5862,A,1,56617,8.72
5863,D,4,106,8.12
5864,A,1,49656,8.01
5865,B,2,1518,5
5866,C,3,13637,15.8
5867,B,2,769,3.54
5868,D,4,738,8.53
5869,C,3,12144,18.55
5870,D,4,988,9
5871,A,1,50382,10.61
5872,D,4,1117,11.42
